일자,시가,고가,저가,종가,거래량
20190108,38000,39200,37950,38100,12756554
20190109,38650,39600,38300,39600,17452708
20190110,40000,40150,39600,39800,14731699
20190111,40350,40550,39950,40500,11661063
20190114,40450,40700,39850,40050,11984996
20190115,40050,41100,39850,41100,11492756
20190116,41150,41450,40700,41450,8491595
20190117,41700,42100,41450,41950,11736903
20190118,42000,42400,41950,42300,11029256
20190121,42700,42750,41900,42750,11355701
20190122,42750,42850,41850,42150,9964356
20190123,41350,42250,41350,42000,11071079
20190124,43050,43100,42350,43050,14747623
20190125,44300,44750,43750,44750,22789395
20190128,45000,45500,44600,45050,17998914
20190129,45050,45500,44350,45500,16215017
20190130,44800,46400,44800,46400,17505980
20190131,46650,47050,46150,46150,21621145
